match_id,player_slot,account_id,assists,camps_stacked,damage_taken,deaths,denies,gold_perm_min,hero_damage,hero_healing,hero_id,kills,team_slot,last_hits,leaver_status,rune_pickups,obs_placed,sen_placed,tower_damaged,xp_per_min,isRadiant,total_gold,kda,rank_tier,matchId,position
7794507109,0,375831470.0,8,,,7,2,,5674,1020,136,2,0,68,0,,,,,411,1,8472,1.25,75.0,7794507109,1
7794507109,1,,1,,,5,15,,10960,0,12,5,1,297,0,,,,,584,1,17039,1.0,,7794507109,2
7794507109,2,860036900.0,9,,,12,1,,11598,0,20,4,2,16,0,,,,,348,1,8886,1.0,55.0,7794507109,3
7794507109,4,85911192.0,2,,,11,1,,21458,0,47,3,4,203,0,,,,,609,1,13950,0.42,80.0,7794507109,5
7794507109,128,156190425.0,15,,,3,4,,17863,0,19,5,0,294,0,,,,,810,0,22072,5.0,61.0,7794507109,1
7794507109,129,904778448.0,16,,,2,7,,28392,0,11,14,1,287,0,,,,,904,0,24556,10.0,80.0,7794507109,2
7794507109,130,104614009.0,21,,,5,6,,11218,125,64,2,2,59,0,,,,,525,0,12357,3.83,63.0,7794507109,3
7794507109,131,162834266.0,19,,,4,12,,13683,3487,29,9,3,148,0,,,,,636,0,17421,5.6,71.0,7794507109,4
7794507109,132,1071342507.0,15,,,3,4,,18242,0,106,10,4,56,0,,,,,525,0,13822,6.25,65.0,7794507109,5
7794507817,0,835572505.0,16,,,3,4,,15852,0,101,8,0,61,0,,,,,644,1,12506,6.0,75.0,7794507817,1
7794507817,1,1041974637.0,13,,,7,1,,7978,0,20,3,1,20,0,,,,,429,1,9278,2.0,74.0,7794507817,2
7794507817,2,114072099.0,14,,,2,7,,37080,1659,110,15,2,211,0,,,,,986,1,20690,9.67,75.0,7794507817,3
7794507817,3,152109963.0,13,,,4,4,,9931,2500,55,5,3,205,0,,,,,560,1,15733,3.6,74.0,7794507817,4
7794507817,4,1247282847.0,7,,,1,38,,11776,1383,54,6,4,237,0,,,,,654,1,19739,6.5,74.0,7794507817,5
7794507817,128,,5,,,8,19,,10167,0,56,3,0,147,0,,,,,494,0,11786,0.89,,7794507817,1
7794507817,129,885729890.0,7,,,6,3,,11192,192,123,4,1,57,0,,,,,485,0,9365,1.57,74.0,7794507817,2
7794507817,130,75683785.0,6,,,6,1,,5960,0,87,0,2,13,0,,,,,277,0,6224,0.86,75.0,7794507817,3
7794507817,131,1297793529.0,5,,,10,2,,18116,0,25,5,3,244,0,,,,,678,0,15532,0.91,75.0,7794507817,4
7794507817,132,88558393.0,6,,,9,0,,10878,0,2,5,4,116,0,,,,,481,0,12564,1.1,74.0,7794507817,5
7794509004,0,148733207.0,3,1.0,19539.0,11,0,,7096,0,69,1,0,42,0,0.0,0.0,1.0,,244,1,6647,0.33,75.0,7794509004,1
7794509004,1,244202477.0,3,0.0,29230.0,3,6,,24050,0,39,7,1,166,0,10.0,7.0,6.0,,597,1,14196,2.5,80.0,7794509004,2
7794509004,2,168625044.0,9,3.0,14054.0,12,2,,7497,0,121,1,2,22,0,0.0,5.0,4.0,,297,1,6731,0.77,80.0,7794509004,3
7794509004,3,176672292.0,7,0.0,27640.0,8,6,,8745,0,49,0,3,131,0,2.0,0.0,0.0,,472,1,11097,0.78,80.0,7794509004,4
7794509004,4,215103358.0,8,0.0,21428.0,11,1,,11928,0,44,4,4,144,0,1.0,0.0,0.0,,577,1,12956,1.0,80.0,7794509004,5
7794509004,128,,17,9.0,20341.0,2,1,,8815,2516,73,1,0,143,0,6.0,5.0,4.0,,551,0,14646,6.0,,7794509004,1
7794509004,130,152489595.0,14,1.0,12281.0,4,1,,11553,0,119,7,2,46,0,4.0,5.0,9.0,,484,0,11745,4.2,80.0,7794509004,3
